mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
170520,Adhikari Deepak (Dev),Elected,23-05-2019,In Office,Second Term,Ghatal,West Bengal,All India Trinamool Congress,Male,Graduate,Computer Engineer,41,2,0,106,0.116788321, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170526,Kunar Hembram,Elected,23-05-2019,In Office,First Term,Jhargram,West Bengal,Bharatiya Janata Party,Male,Graduate,"B.Tech. (Hons.), Educated at Indian Institute of Technology, Kharagpur, West Bengal",61,21,0,19,0.908759124, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170535,Dilip Ghosh,Elected,23-05-2019,In Office,First Term,Medinipur,West Bengal,Bharatiya Janata Party,Male,Professional Graduate,"I.T.I. in the Trade of Fitter, Educated at I.T.I., Jhargram and Tollygung, West Bengal",59,11,0,32,0.832116788, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170537,Jyotirmay Singh Mahato,Elected,23-05-2019,In Office,First Term,Purulia,West Bengal,Bharatiya Janata Party,Male,Information Not Available,Information Not Available,38,3,0,133,0.693430657, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170507,Subhas Sarkar,Elected,23-05-2019,In Office,First Term,Bankura,West Bengal,Bharatiya Janata Party,Male,Information Not Available,Information Not Available,70,27,0,52,0.815789474,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation. They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2019 to 10-02-2024.",24.43976303,0.294307337,77.08705717,0.788685748,17.9,0.15,49.625,0.65888707,Lok Sabha
170509,Sunil Kumar Mondal,Elected,23-05-2019,In Office,Second Term,Bardhaman Purba,West Bengal,All India Trinamool Congress,Male,Professional Graduate,"B.A., B.Ed.",65,20,0,195,0.813868613, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170514,Asit Kumar Mal,Elected,23-05-2019,In Office,First Term,Bolpur,West Bengal,All India Trinamool Congress,Male,Information not available,University Entrance Examination Educated at Rampurhat College Burdwan University,68,22,0,5,0.748175182, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170512,Satabdi Roy,Elected,23-05-2019,In Office,Third Term,Birbhum,West Bengal,All India Trinamool Congress,Female,Graduate,B.A.,54,24,0,1,0.773722628, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,34.45903272,0.628662873,140.1854552,0.65888707,Lok Sabha
170087,Guharam Ajgalley,Elected,23-05-2019,In Office,Second Term,Janjgir-Champa,Chhattisgarh,Bharatiya Janata Party,Male,Professional Graduate,"B.A., L.L.B. Educated at Swami Bal Krishanpuri University, Raigarh, Chhattisgarh",56,7,0,4,0.959854015, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,27.175,N/A,168.6295455,0.883292143,Lok Sabha
170089,Jyotsna Charandas Mahant,Elected,23-05-2019,In Office,First Term,Korba,Chhattisgarh,Indian National Congress,Female,Information Not Available,Information Not Available,70,7,0,116,0.708029197, Data corresponds to the period from 01-06-2019 to 10-02-2024.,46.72828028,1.503146169,209.6655443,0.788685748,27.175,N/A,168.6295455,0.883292143,Lok Sabha
