Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
83,Abdul Kareem K. S/O Assain,KOZHIKODE,IND,0,5th Pass,"Rs 21,11,700 ~ 21 Lacs+",Rs 0 ~
84,Abdul Kareem S/O Ayammath Kutty,KOZHIKODE,IND,0,10th Pass,"Rs 32,52,400 ~ 32 Lacs+","Rs 4,00,000 ~ 4 Lacs+"
85,Abdul Kareem S/O Mahammood,KOZHIKODE,IND,0,12th Pass,,
86,Abdul Mabood,SULTANPUR,Apna Desh Party,0,10th Pass,"Rs 1,56,52,700 ~ 1 Crore+",Rs 0 ~
87,Abdul Matin,SUPAUL,IND,0,Post Graduate,"Rs 79,70,757 ~ 79 Lacs+",Rs 0 ~
88,Abdul Nazeer Ahammed,DAVANAGERE,IND,0,5th Pass,"Rs 17,28,000 ~ 17 Lacs+","Rs 80,000 ~ 80 Thou+"
89,Abdul Rafiq Abdul Latif,JALNA,IND,0,Literate,"Rs 1,06,000 ~ 1 Lacs+",Rs 0 ~
90,Abdul Rais Ahemad,NANDED,Desh Janhit Party,0,5th Pass,,
91,Abdul Rajak Shaik,NARSARAOPET,IND,0,Graduate Professional,"Rs 1,19,64,145 ~ 1 Crore+","Rs 8,00,000 ~ 8 Lacs+"
92,Abdul Raouf Malik,ANANTNAG-RAJOURI,IND,0,10th Pass,"Rs 3,23,27,353 ~ 3 Crore+","Rs 9,00,000 ~ 9 Lacs+"
93,Abdul Rashid,VIDISHA,IND,0,5th Pass,"Rs 10,11,500 ~ 10 Lacs+",Rs 0 ~
94,Abdul Rashid Sheikh,BARAMULLA,IND,3,Graduate,"Rs 1,56,37,424 ~ 1 Crore+","Rs 14,42,558 ~ 14 Lacs+"
95,Abdul Rouf Naik,ANANTNAG-RAJOURI,IND,0,Post Graduate,,
96,Abdul Samad,SITAMARHI,IND,0,Literate,"Rs 25,51,000 ~ 25 Lacs+",Rs 0 ~
97,Abdul Samad Bagwan,AURANGABAD,All India Majlis-E-Inquilab-E-Millat,0,Graduate,"Rs 22,82,613 ~ 22 Lacs+","Rs 5,37,000 ~ 5 Lacs+"
98,Abdul Sattar A.S.R,KURNOOL,Anna YSR Congress Party,1,Post Graduate,"Rs 60,60,000 ~ 60 Lacs+","Rs 12,00,000 ~ 12 Lacs+"
99,Abdul Shakur Deshpande,JALGAON,IND,0,Graduate,"Rs 40,70,673 ~ 40 Lacs+","Rs 78,758 ~ 78 Thou+"
100,Abdul Tahir Advocate (Bablu Rajnikant) S/O Saeed Pahelwan Ansari,BHOPAL,Bahujan Maha Party,0,Graduate Professional,,
101,Abdul Tahir Advocate Bablu Rajnikant,MUMBAI NORTH - CENTRAL,IND,0,Graduate Professional,"Rs 58,03,440 ~ 58 Lacs+",Rs 0 ~
102,Abdulaziz Kaladagi Pendari,BAGALKOT,IND,0,8th Pass,"Rs 11,70,000 ~ 11 Lacs+","Rs 1,50,000 ~ 1 Lacs+"
103,Abdulhaq Ismail Nedariya,PATAN,IND,1,5th Pass,"Rs 46,25,500 ~ 46 Lacs+",Rs 0 ~
104,Abdulkuddus,PATAN,IND,0,5th Pass,"Rs 3,10,000 ~ 3 Lacs+",Rs 0 ~
105,Abdulsalam S/O Muhammed Haji,MALAPPURAM,IND,1,8th Pass,,
106,Abdus Subhan Tapadar,KARIMGANJ,IND,0,12th Pass,"Rs 5,80,733 ~ 5 Lacs+",Rs 0 ~
107,Abdussamed Malayampalli,PONNANI,IND,0,10th Pass,"Rs 43,68,382 ~ 43 Lacs+",Rs 0 ~
108,Abha Ray,VAISHALI,Peoples Party of India (Democratic),0,10th Pass,"Rs 1,56,27,000 ~ 1 Crore+","Rs 20,00,000 ~ 20 Lacs+"
109,Abhang Gangaram Suryawanshi,LATUR (SC),IND,0,Graduate,"Rs 4,10,000 ~ 4 Lacs+","Rs 90,000 ~ 90 Thou+"
110,Abhay Jain,INDORE,IND,0,Graduate Professional,,
111,Abhay Kashinath Patil,AKOLA,INC,1,Graduate Professional,"Rs 61,40,25,454 ~ 61 Crore+","Rs 9,09,50,596 ~ 9 Crore+"
112,Abhay Kumar,MUZAFFARPUR,Samata Party,1,12th Pass,"Rs 50,85,000 ~ 50 Lacs+","Rs 7,00,000 ~ 7 Lacs+"
113,Abhay Kumar Ekka,RAIGARH (ST),IND,0,12th Pass,"Rs 4,50,014 ~ 4 Lacs+",Rs 0 ~
114,Abhay Kumar Sinha,AURANGABAD,RJD,16,12th Pass,"Rs 10,77,18,589 ~ 10 Crore+","Rs 4,78,01,483 ~ 4 Crore+"
115,Abhay Singh Chautala,KURUKSHETRA,Indian National Lok Dal,1,10th Pass,,
116,Abhaya Sheela,BANGALORE CENTRAL,Rashtriya Samaj Dal (R),2,12th Pass,"Rs 24,05,000 ~ 24 Lacs+","Rs 15,00,000 ~ 15 Lacs+"
117,Abhijeet Ashokrao Pote,SHIRDI (SC),IND,0,Graduate,"Rs 54,37,898 ~ 54 Lacs+","Rs 31,42,900 ~ 31 Lacs+"
118,Abhijit Das (Bobby),DIAMOND HARBOUR,BJP,13,Post Graduate,"Rs 99,18,174 ~ 99 Lacs+","Rs 5,52,898 ~ 5 Lacs+"
119,Abhijit Gangopadhyay,TAMLUK,BJP,0,Graduate Professional,"Rs 4,62,55,624 ~ 4 Crore+","Rs 50,77,654 ~ 50 Lacs+"
120,Abhijit Maji,ARAMBAG (SC),IND,0,8th Pass,,
121,Abhijit Mandal,BAHARAMPUR,SUCI(C),0,Graduate,"Rs 84,85,209 ~ 84 Lacs+",Rs 0 ~
122,Abhijit Wamanrao Bichukale,KALYAN,IND,1,Graduate,"Rs 9,29,111 ~ 9 Lacs+",Rs 0 ~
123,Abhilash Chelimela,MEDAK,IND,0,10th Pass,"Rs 3,06,560 ~ 3 Lacs+",Rs 0 ~
124,Abhilash Shirna,MEDAK,IND,1,10th Pass,"Rs 16,06,560 ~ 16 Lacs+","Rs 19,58,780 ~ 19 Lacs+"
125,Abhinesh Singh,KHANDWA,Rashtriya Jan Awaz Party,0,Post Graduate,,
126,Abhishek Banerjee,DIAMOND HARBOUR,AITC,2,Post Graduate,"Rs 2,32,64,563 ~ 2 Crore+","Rs 36,00,000 ~ 36 Lacs+"
127,Abhishek K,BANGALORE RURAL,Uttama Prajaakeeya Party,0,Graduate Professional,"Rs 1,01,81,571 ~ 1 Crore+",Rs 0 ~
128,Abhishek Kumar,HAZARIBAGH,IND,1,12th Pass,"Rs 12,70,000 ~ 12 Lacs+","Rs 2,80,000 ~ 2 Lacs+"
129,Abhishek Pundir,GHAZIABAD,IND,0,Post Graduate,"Rs 47,36,868 ~ 47 Lacs+","Rs 8,46,535 ~ 8 Lacs+"
130,Abid Ali,AONLA,BSP,1,10th Pass,,
131,Abid Husain,MEERUT,Social Democratic Party Of India,0,Others,"Rs 1,31,13,200 ~ 1 Crore+",Rs 0 ~
132,Abilazan. N,KARUR,IND,0,Post Graduate,"Rs 2,36,500 ~ 2 Lacs+",Rs 0 ~
133,Abinash Gomango,KORAPUT (ST),IND,0,Post Graduate,"Rs 4,11,000 ~ 4 Lacs+","Rs 11,54,931 ~ 11 Lacs+"
134,Abinash Samal,DHENKANAL,BJD,0,Post Graduate,"Rs 36,78,50,379 ~ 36 Crore+","Rs 13,95,40,560 ~ 13 Crore+"
135,Abinaya,DHARMAPURI,Naam Tamilar Katchi,0,Graduate Professional,,
136,Abishek Goud Thabeti,MEDAK,Jana Shankhaaraavam Party,0,10th Pass,"Rs 28,66,000 ~ 28 Lacs+","Rs 43,00,000 ~ 43 Lacs+"
137,Abu Eusuf Md Raihan Uddin,NAGAON,IND,1,Graduate Professional,"Rs 57,51,077 ~ 57 Lacs+",Rs 0 ~
138,Abu Shama,NAGAON,IND,0,10th Pass,"Rs 24,07,000 ~ 24 Lacs+","Rs 10,00,000 ~ 10 Lacs+"
139,Abu Taher Khan,MURSHIDABAD,AITC,3,10th Pass,"Rs 3,84,76,131 ~ 3 Crore+",Rs 0 ~
140,Abubakkar Siddique,BARPETA,Rashtriya Ulama Council,0,12th Pass,,
141,Abul Hasan Ali Hasan Khan,MUMBAI SOUTH - CENTRAL,Vanchit Bahujan Aaghadi,0,12th Pass,"Rs 27,36,18,611 ~ 27 Crore+","Rs 5,11,88,132 ~ 5 Crore+"
142,Abul Kalam Azad,CHANDNI CHOWK,BSP,0,Graduate Professional,"Rs 93,69,380 ~ 93 Lacs+","Rs 10,44,407 ~ 10 Lacs+"
143,Abul Kalam Azad,BARPETA,AITC,0,10th Pass,"Rs 1,31,38,415 ~ 1 Crore+","Rs 7,94,950 ~ 7 Lacs+"
144,Abul Kasem,DARRANG-UDALGURI,Republican Party of India (Athawale),0,Graduate Professional,"Rs 2,35,60,873 ~ 2 Crore+",Rs 0 ~
145,Ac Shanmugam,VELLORE,BJP,0,Graduate Professional,,
146,Achal Singh,KANGRA,IND,0,Post Graduate,"Rs 43,15,000 ~ 43 Lacs+",Rs 0 ~
147,Achla Jethmalani,NEW DELHI,Jindabad Kranti Party,0,Post Graduate,"Rs 4,18,00,000 ~ 4 Crore+",Rs 0 ~
148,Achyutananda Samanta,KANDHAMAL,BJD,0,Doctorate,"Rs 71,43,693 ~ 71 Lacs+","Rs 50,00,000 ~ 50 Lacs+"
149,Ad. T.R. Nirala,JANJGIR-CHAMPA (SC),IND,0,Post Graduate,"Rs 58,00,674 ~ 58 Lacs+","Rs 30,80,000 ~ 30 Lacs+"
150,Adabala Siva,NARSAPURAM,IND,2,10th Pass,,
151,Adari Sarat Chandra,ANAKAPALLE,Jai Bharat National Party,0,Post Graduate,"Rs 2,76,000 ~ 2 Lacs+","Rs 1,10,000 ~ 1 Lacs+"
152,Adarsh Pandey,PILIBHIT,IND,1,Post Graduate,"Rs 52,26,281 ~ 52 Lacs+",Rs 0 ~
153,Adarsh Ravishankar Thakur,NAGPUR,IND,0,Illiterate,"Rs 25,000 ~ 25 Thou+",Rs 0 ~
154,Adarsha Mondal,HOWRAH,IND,0,12th Pass,"Rs 13,81,225 ~ 13 Lacs+",Rs 0 ~
155,Addanki Dorababu,NARSAPURAM,IND,0,10th Pass,,
156,Addepalli Veera Venkat Subba Rao,NARSAPURAM,IND,0,Graduate,"Rs 2,75,000 ~ 2 Lacs+","Rs 4,300 ~ 4 Thou+"
157,Adhalge Laxman Sadashiv,MAVAL,IND,0,Graduate Professional,"Rs 6,97,98,493 ~ 6 Crore+",Rs 0 ~
158,Adhalrao Shivaji Dattatrey,SHIRUR,NCP,5,12th Pass,"Rs 39,68,00,190 ~ 39 Crore+","Rs 3,89,40,472 ~ 3 Crore+"
159,Adhau Ravikant Ramkrushna,AKOLA,Jay Vidarbha Party,0,10th Pass,"Rs 45,22,114 ~ 45 Lacs+","Rs 25,000 ~ 25 Thou+"
160,Adhikari Deepak (Dev),GHATAL,AITC,0,Others,,
161,Adhikari Soumendu,KANTHI,BJP,6,Post Graduate,"Rs 2,61,79,993 ~ 2 Crore+","Rs 2,87,970 ~ 2 Lacs+"
162,Adhir Chandra Barman,JALPAIGURI (SC),IND,0,10th Pass,"Rs 29,50,000 ~ 29 Lacs+",Rs 0 ~
163,Adhir Ranjan Chowdhury,BAHARAMPUR,INC,5,8th Pass,"Rs 11,73,48,800 ~ 11 Crore+","Rs 24,62,632 ~ 24 Lacs+"
164,Adhir Swarnakar,BAHARAMPUR,IND,0,10th Pass,"Rs 57,000 ~ 57 Thou+",Rs 0 ~
165,Adinarayana Duppanapudi,NARSAPURAM,IND,0,8th Pass,,
166,Adinarayana Taddi,VIZIANAGARAM,IND,0,8th Pass,"Rs 1,25,000 ~ 1 Lacs+",Rs 0 ~
167,Aditi,NORTH WEST DELHI (SC),IND,1,Graduate,"Rs 16,596 ~ 16 Thou+",Rs 0 ~
168,Aditya Prakash Sharma,JAIPUR RURAL,Right to Recall Party,0,Post Graduate,"Rs 1,55,560 ~ 1 Lacs+",Rs 0 ~
169,Aditya Shrivastav,GHAZIPUR,Yuga Thulasi Party,0,Graduate,"Rs 4,07,70,077 ~ 4 Crore+",Rs 0 ~
170,Aditya Singh Madhukar,MUNGER,IND,0,10th Pass,,
171,Aditya Yadav,BADAUN,SP,0,Post Graduate,"Rs 14,62,67,852 ~ 14 Crore+","Rs 2,37,13,481 ~ 2 Crore+"
172,Adla Kumar,MEDAK,IND,0,Graduate,"Rs 30,000 ~ 30 Thou+",Rs 0 ~
173,Adv Adoor Prakash,ATTINGAL,INC,13,Graduate Professional,"Rs 18,09,33,863 ~ 18 Crore+","Rs 3,68,02,602 ~ 3 Crore+"
174,Adv Ajay Upadhye,RAIGAD,IND,0,Graduate Professional,"Rs 30,35,000 ~ 30 Lacs+","Rs 78,000 ~ 78 Thou+"
175,Adv Altaf Ahmed,HINGOLI,Indian National League,0,Post Graduate,,
176,Adv Arjun Charan Mallik,BHADRAK (SC),BSP,0,Graduate Professional,"Rs 2,00,20,000 ~ 2 Crore+",Rs 0 ~
177,Adv Arun Kumar C A,MAVELIKKARA (SC),CPI,4,Post Graduate,"Rs 37,49,816 ~ 37 Lacs+","Rs 21,49,559 ~ 21 Lacs+"
178,Adv Ashwini Sharma Hrittwal,KURUKSHETRA,IND,0,Doctorate,"Rs 2,26,77,042 ~ 2 Crore+",Rs 0 ~
179,Adv Asif Ali Siddiquie,MUMBAI NORTH - CENTRAL,IND,1,Post Graduate,"Rs 62,24,745 ~ 62 Lacs+","Rs 42,72,468 ~ 42 Lacs+"
180,Adv B U Gosawi,AURANGABAD,Hindustan Janta Party,0,Post Graduate,,
181,Adv Bhimrao Shende,RAMTEK (SC),Bahujan Republican Socialist Party,0,Post Graduate,"Rs 2,51,500 ~ 2 Lacs+",Rs 0 ~
182,Adv Chandan Kumar Das,BEGUSARAI,BSP,0,Post Graduate,"Rs 2,25,165 ~ 2 Lacs+",Rs 0 ~
183,Adv Charly Paul,CHALAKUDY,Twenty 20 Party,0,Graduate Professional,"Rs 3,89,54,106 ~ 3 Crore+","Rs 94,71,682 ~ 94 Lacs+"
184,Adv Feroz Shaikh,MUMBAI NORTH - CENTRAL,IND,0,Post Graduate,"Rs 23,13,844 ~ 23 Lacs+",Rs 0 ~
185,Adv Gowaal Kagada Padavi,NANDURBAR (ST),INC,0,Post Graduate,,
186,Adv Jyotishwar Vishnu Bhosale,MAVAL,Baliraja Party,1,Graduate Professional,"Rs 1,20,58,220 ~ 1 Crore+","Rs 94,62,516 ~ 94 Lacs+"
187,Adv K Francis George,KOTTAYAM,Kerala Congress,5,Graduate Professional,"Rs 9,51,96,318 ~ 9 Crore+","Rs 13,00,000 ~ 13 Lacs+"
188,Adv Kulwinder Singh,ANANDPUR SAHIB,IND,0,Post Graduate,"Rs 7,37,20,000 ~ 7 Crore+",Rs 0 ~
189,Adv Mitesh Varshney,MUMBAI NORTH - WEST,Bhim Sena,0,Post Graduate,"Rs 5,04,133 ~ 5 Lacs+",Rs 0 ~
190,Adv Nitin Dadahari Pol,SHIRDI (SC),Bahujan Bharat Party,0,Post Graduate,,
191,Adv P K Narayanan S/O Koran,THRISSUR,BSP,0,Graduate Professional,"Rs 28,05,625 ~ 28 Lacs+","Rs 16,10,000 ~ 16 Lacs+"
192,Adv Rajendran,THIRUVANANTHAPURAM,BSP,0,Graduate Professional,"Rs 1,01,91,430 ~ 1 Crore+",Rs 0 ~
193,Adv Raju Patil,MAVAL,IND,0,Graduate Professional,"Rs 1,69,26,000 ~ 1 Crore+","Rs 12,41,000 ~ 12 Lacs+"
194,Adv Ravi Shinde,HINGOLI,IND,2,Graduate Professional,"Rs 54,88,869 ~ 54 Lacs+",Rs 0 ~
195,Adv Sachin Umaji Nikam,DHULE,IND,0,Post Graduate,,
196,Adv Shine Lal M P,THIRUVANANTHAPURAM,IND,3,Graduate Professional,"Rs 7,44,600 ~ 7 Lacs+","Rs 7,00,000 ~ 7 Lacs+"
197,Adv Sidharth Deepak Bodhak,SHIRDI (SC),IND,0,Graduate Professional,"Rs 13,38,000 ~ 13 Lacs+",Rs 0 ~
198,Adv Ujwal Nikam,MUMBAI NORTH - CENTRAL,BJP,0,Graduate Professional,"Rs 39,03,27,461 ~ 39 Crore+","Rs 6,11,51,688 ~ 6 Crore+"
199,Adv Ulhas Shalikram Dupare,NAGPUR,IND,0,Graduate Professional,"Rs 1,29,85,000 ~ 1 Crore+","Rs 10,00,000 ~ 10 Lacs+"
200,Adv Ulhas Shalikram Dupare,RAMTEK (SC),IND,0,Post Graduate,,
201,Adv Uttamkumar Nakul Sajani Sahu,MUMBAI NORTH - CENTRAL,IND,0,Post Graduate,"Rs 99,40,237 ~ 99 Lacs+",Rs 0 ~
202,Adv V S Sunilkumar,THRISSUR,CPI,2,Graduate Professional,"Rs 64,07,442 ~ 64 Lacs+","Rs 22,00,000 ~ 22 Lacs+"
203,Adv Vikram Uttam Kasabe,SOLAPUR (SC),IND,0,Post Graduate,"Rs 1,31,722 ~ 1 Lacs+",Rs 0 ~
204,Adv Vishal Gajanan Naik,NORTH GOA,IND,0,Graduate Professional,"Rs 3,88,773 ~ 3 Lacs+","Rs 64,200 ~ 64 Thou+"
205,Adv. Abhishek Master Buddhsen Patel,REWA,BSP,0,Post Graduate,,
206,Adv. Antony Judy,ERNAKULAM,Twenty 20 Party,0,Post Graduate,"Rs 1,15,53,888 ~ 1 Crore+","Rs 18,44,873 ~ 18 Lacs+"
207,Adv. Ashok Saket,SATNA,Bahujan Dravida Party,0,Graduate Professional,"Rs 4,75,000 ~ 4 Lacs+",Rs 0 ~
208,Adv. Bhaskar Marotrao Neware,WARDHA,IND,0,Post Graduate,"Rs 3,42,211 ~ 3 Lacs+",Rs 0 ~
209,Adv. Bhausaheb Anil Belure,OSMANABAD,IND,0,Graduate Professional,"Rs 5,85,92,000 ~ 5 Crore+","Rs 57,00,000 ~ 57 Lacs+"
210,Adv. Bhim Kishor,NORTH EAST DELHI,Peoples Party of India (Democratic),2,Graduate Professional,,
211,Adv. Dean Kuriakose,IDUKKI,INC,88,Post Graduate,"Rs 2,07,97,763 ~ 2 Crore+","Rs 36,19,970 ~ 36 Lacs+"
212,Adv. Dr. Laxman Rambhau Damse,SHIRUR,Bharat Adivasi Party,2,Doctorate,"Rs 4,59,80,000 ~ 4 Crore+",Rs 0 ~
213,Adv. Ganesh Navnathrao Karande,BEED,IND,0,Post Graduate,"Rs 5,10,452 ~ 5 Lacs+",Rs 0 ~
214,Adv. Gurudev Narsingh Suryawanshi,THANE,IND,0,Graduate Professional,"Rs 2,20,000 ~ 2 Lacs+",Rs 0 ~
215,Adv. Hitesh Jaikishan Jeswani,KALYAN,IND,0,Graduate,,
216,Adv. Jamir Shaikh,AHMEDNAGAR,IND,0,Post Graduate,"Rs 17,95,000 ~ 17 Lacs+",Rs 0 ~
217,Adv. Joice George,IDUKKI,CPI(M),8,Post Graduate,"Rs 2,17,97,607 ~ 2 Crore+",Rs 0 ~
218,Adv. Jore Sachin Bhaskar,MADHA,IND,5,Post Graduate,"Rs 76,37,000 ~ 76 Lacs+","Rs 12,00,000 ~ 12 Lacs+"
219,Adv. K.T. Paluskar,NORTH EAST DELHI,Prabuddha Republican Party,0,Post Graduate,"Rs 24,86,215 ~ 24 Lacs+",Rs 0 ~
220,Adv. Kasbekar Shridhar Limbaji,LATUR (SC),Rashtriya Sant Sandesh Party,1,Graduate Professional,,
221,Adv. Krupal,NORTH WEST DELHI (SC),Prabuddha Republican Party,0,Post Graduate,"Rs 15,75,155 ~ 15 Lacs+",Rs 0 ~
222,Adv. Lata Pandurang Shinde,MUMBAI NORTH - WEST,IND,0,Graduate Professional,"Rs 61,30,000 ~ 61 Lacs+","Rs 29,08,351 ~ 29 Lacs+"
223,Adv. Mahendra Dadasaheb Shinde,AHMEDNAGAR,IND,1,Post Graduate,"Rs 32,234 ~ 32 Thou+",Rs 0 ~
224,Adv. Mahendra Tulshiram Bhingardive,MUMBAI SOUTH - CENTRAL,Right to Recall Party,0,Graduate Professional,"Rs 1,75,53,933 ~ 1 Crore+","Rs 6,50,000 ~ 6 Lacs+"
225,Adv. Manik Bansi Aadmane,BEED,Bahujan Republican Socialist Party,1,Post Graduate,,
226,Adv. Namdeo Pandurang Koli,JALGAON,IND,3,Graduate Professional,"Rs 3,91,216 ~ 3 Lacs+","Rs 15,00,000 ~ 15 Lacs+"
227,Adv. Nivedida,PONNANI,BJP,5,Post Graduate,"Rs 9,56,33,596 ~ 9 Crore+","Rs 63,69,577 ~ 63 Lacs+"
228,Adv. Pradip S. Chincholikar,LATUR (SC),IND,0,Graduate Professional,"Rs 12,00,000 ~ 12 Lacs+","Rs 45,00,000 ~ 45 Lacs+"
229,Adv. Pruthvisamrat Mukindrao Dipwansh,AMRAVATI (SC),IND,0,Graduate Professional,"Rs 1,400 ~ 1 Thou+",Rs 0 ~
230,Adv. Raju Madhukarrao Kalane,AMRAVATI (SC),Bahujan Bharat Party,2,Graduate Professional,,
231,Adv. Ramrao Atmaram Jumbade,HINGOLI,IND,0,Graduate Professional,"Rs 87,000 ~ 87 Thou+","Rs 8,000 ~ 8 Thou+"
232,Adv. Russel Joy,IDUKKI,BSP,0,Graduate Professional,"Rs 2,77,30,032 ~ 2 Crore+","Rs 23,26,691 ~ 23 Lacs+"
233,Adv. Sangeetha Viswanathan,IDUKKI,Bharath Dharma Jana Sena,1,Post Graduate,"Rs 8,02,67,162 ~ 8 Crore+","Rs 1,15,74,186 ~ 1 Crore+"
234,Adv. Sanjeevkumar Apparav Kalkori,MUMBAI NORTH - WEST,IND,0,Graduate Professional,"Rs 49,81,655 ~ 49 Lacs+","Rs 11,12,000 ~ 11 Lacs+"
235,Adv. Santosh Punjiram Sanjkar,MUMBAI SOUTH - CENTRAL,IND,4,Post Graduate,,
236,Adv. Santosh Ramkrishna Lanjewar,NAGPUR,All India Forward Bloc,0,Post Graduate,"Rs 1,05,66,089 ~ 1 Crore+","Rs 22,06,036 ~ 22 Lacs+"
237,Adv. Sharad Bahinaji Kamble,BEED,All India National Raksha Sena,0,Post Graduate,"Rs 4,06,000 ~ 4 Lacs+",Rs 0 ~
238,Adv. Shivajirao Jadhav,HINGOLI,IND,0,Post Graduate,"Rs 53,92,91,634 ~ 53 Crore+","Rs 16,72,22,522 ~ 16 Crore+"
239,Adv. Shivajirao Waman Damale,AHMEDNAGAR,Sainik Samaj Party,0,Graduate Professional,"Rs 3,90,000 ~ 3 Lacs+",Rs 0 ~
240,Adv. Sonal Diwakar Gondane,MUMBAI NORTH,Vanchit Bahujan Aaghadi,0,Post Graduate,,
241,Adv. Vinod Chhaganrao Ambhore,PARBHANI,Bahujan Mukti Party,1,Graduate Professional,"Rs 6,90,499 ~ 6 Lacs+","Rs 1,32,588 ~ 1 Lacs+"
242,Adv. Vishvjeet Vijaykumar Shinde,OSMANABAD,Aadarsh Sangram Party,0,Post Graduate,"Rs 1,93,39,431 ~ 1 Crore+",Rs 0 ~
243,Adv. Yash Suhas Hegdepatil,KOLHAPUR,IND,0,Post Graduate,"Rs 3,39,874 ~ 3 Lacs+",Rs 0 ~
244,Adv. Yogesh Dattu Gullapelli,JALNA,IND,0,Post Graduate,"Rs 17,14,301 ~ 17 Lacs+",Rs 0 ~
245,Adv. Yogesh Makane,PUNE,IND,0,Graduate Professional,,
246,Adv. Zunjar Mhasuji Avhad,NASHIK,Bahujan Republican Socialist Party,1,Graduate Professional,"Rs 25,000 ~ 25 Thou+",Rs 0 ~
247,Adv.Harikumar M.K.,PATHANAMTHITTA,Ambedkarite Party of India,1,Graduate Professional,"Rs 6,231 ~ 6 Thou+",Rs 0 ~
248,Adv.K.M Shajahan,ALAPPUZHA,IND,5,Post Graduate,"Rs 1,89,94,512 ~ 1 Crore+","Rs 44,90,000 ~ 44 Lacs+"
249,Adv.P.K.Geethakrishnan,PATHANAMTHITTA,BSP,0,Post Graduate,"Rs 14,44,823 ~ 14 Lacs+","Rs 9,58,363 ~ 9 Lacs+"
250,Adv.Swapnil Bhausaheb Shelar,SHIRUR,IND,0,Graduate,,
251,Advocate Aditya Dhankhar,ROHTAK,Super Power India Party,0,Graduate Professional,"Rs 4,50,000 ~ 4 Lacs+",Rs 0 ~
252,Advocate Arun Shrivastava,BHOPAL,INC,1,Post Graduate,"Rs 16,32,97,207 ~ 16 Crore+","Rs 22,52,231 ~ 22 Lacs+"
253,Advocate Dr. Mahender Singh Churiyana,NORTH WEST DELHI (SC),Bahujan Dravida Party,0,Doctorate,"Rs 4,17,81,000 ~ 4 Crore+",Rs 0 ~
254,Advocate Hari Kishan Tiwari,JAIPUR,Bheem Tribal Congress,0,Graduate Professional,"Rs 1,01,10,000 ~ 1 Crore+",Rs 0 ~
255,Advocate J. P. Maraviya,JAMNAGAR,INC,0,Graduate Professional,,
256,Advocate Kapil K. Soni,MUMBAI NORTH,IND,0,Post Graduate,"Rs 48,216 ~ 48 Thou+","Rs 97,200 ~ 97 Thou+"
257,Advocate Kapil Kantilal Soni,MUMBAI NORTH - WEST,IND,0,Post Graduate,"Rs 48,216 ~ 48 Thou+","Rs 97,200 ~ 97 Thou+"
258,Advocate Karansingh Jatav,GUNA,Aazad Samaj Party (Kanshi Ram),0,Post Graduate,"Rs 3,37,000 ~ 3 Lacs+",Rs 0 ~
259,Advocate Manjeet Singh,EAST DELHI,Rashtra Nirman Party,0,Graduate Professional,"Rs 1,20,04,732 ~ 1 Crore+","Rs 13,07,590 ~ 13 Lacs+"
260,Advocate Mukesh Kumar Kori,GWALIOR,IND,0,Graduate Professional,,
261,Advocate Navinkumar Shankerbhai Patel,NAVSARI,IND,0,Graduate Professional,"Rs 7,45,000 ~ 7 Lacs+",Rs 0 ~
262,Advocate Pankaj Gupte,INDORE,IND,0,Graduate Professional,"Rs 1,70,209 ~ 1 Lacs+",Rs 0 ~
263,Advocate Pardeep Saini,KURUKSHETRA,Rashtriya Garib Dal,0,Post Graduate,"Rs 91,60,700 ~ 91 Lacs+","Rs 80,000 ~ 80 Thou+"
264,Advocate Pardeep Sihmar,HISAR,Peoples Party of India (Democratic),1,Graduate Professional,"Rs 7,30,600 ~ 7 Lacs+",Rs 0 ~
265,Advocate Prakash Chouhan,UJJAIN (SC),BSP,0,Graduate Professional,,
266,Advocate Sanjay Sharma,KANGRA,IND,0,Graduate Professional,"Rs 2,12,41,828 ~ 2 Crore+","Rs 5,80,621 ~ 5 Lacs+"
267,Advocate Santosh Rawat,BARABANKI (SC),Dr. Bhimrao Ambedkar Dal,0,Post Graduate,"Rs 15,59,000 ~ 15 Lacs+","Rs 1,32,000 ~ 1 Lacs+"
268,Advocate Satish Chandra,NORTH WEST DELHI (SC),Ambedkarite Party of India,0,Post Graduate,"Rs 27,53,000 ~ 27 Lacs+","Rs 3,50,000 ~ 3 Lacs+"
269,Advocate Satyaprakash Shulke,BALAGHAT,Madhya Pradesh Jan Vikas Party,0,Graduate Professional,"Rs 12,67,608 ~ 12 Lacs+",Rs 0 ~
270,Advocate Shailendra Banjare (Shaktiputra),BILASPUR,Shakti Sena (Bharat Desh),0,Post Graduate,,
271,Advocate Shailendra Banjare (Shaktiputra),JANJGIR-CHAMPA (SC),Shakti Sena (Bharat Desh),0,Post Graduate,"Rs 11,29,57,000 ~ 11 Crore+","Rs 20,00,000 ~ 20 Lacs+"
272,Advocate Uday Kumar Sahu,JABALPUR,Gondvana Gantantra Party,1,Graduate Professional,"Rs 3,03,43,010 ~ 3 Crore+","Rs 18,00,000 ~ 18 Lacs+"
273,Advocate Vidayaraj Malaviy,DEWAS (SC),Social Democratic Party Of India,0,Post Graduate,"Rs 17,81,800 ~ 17 Lacs+",Rs 0 ~
274,Advocate Vijay Babulal Danej,JALGAON,IND,0,Post Graduate,"Rs 1,35,23,149 ~ 1 Crore+",Rs 0 ~
275,Advocate Yerra Kaamesh,KHAMMAM,BSP,0,Post Graduate,,
