Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
18,A Beemarao Milinthar,VELLORE,United Republican Party of India,0,10th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
19,A Chinna Moulali,NANDYAL,BSP,0,Graduate Professional,"Rs 85,08,000 ~ 85 Lacs+","Rs 13,00,000 ~ 13 Lacs+"
20,A Jayachandran,ARAKKONAM,IND,0,10th Pass,,
21,A Jinna Mohammed,SRIPERUMBUDUR,IND,0,8th Pass,"Rs 45,000 ~ 45 Thou+","Rs 49,800 ~ 49 Thou+"
22,A Muthaiah,TENKASI (SC),IND,0,5th Pass,"Rs 66,289 ~ 66 Thou+",Rs 0 ~
23,A Nakkeeran,TIRUVANNAMALAI,IND,0,Literate,"Rs 4,01,000 ~ 4 Lacs+",Rs 0 ~
24,A Namassivayam,PUDUCHERRY,BJP,0,Others,"Rs 31,55,42,293 ~ 31 Crore+","Rs 15,93,72,429 ~ 15 Crore+"
25,A Natarajan,VELLORE,Bharatiya Praja Aikyata Party,0,8th Pass,,
26,A Palani,ARAKKONAM,IND,0,10th Pass,"Rs 2,75,000 ~ 2 Lacs+",Rs 0 ~
27,A Seetha,TENKASI (SC),Bahujan Dravida Party,0,12th Pass,"Rs 63,25,000 ~ 63 Lacs+",Rs 0 ~
28,A T Munusamy,ERODE,Samaniya Makkal Nala Katchi,0,5th Pass,"Rs 84,73,646 ~ 84 Lacs+","Rs 20,00,000 ~ 20 Lacs+"
29,A Vasudevan,PERAMBALUR,IND,0,Post Graduate,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~
30,A Velusamy,TIRUPPUR,IND,0,10th Pass,,
31,A Vijayaraghavan,PALAKKAD,CPI(M),1,Graduate Professional,"Rs 1,11,51,017 ~ 1 Crore+",Rs 0 ~
32,A. Ajithkumar,CHENNAI NORTH,Thakkam Katchi,0,Post Graduate,"Rs 61,21,581 ~ 61 Lacs+","Rs 20,46,216 ~ 20 Lacs+"
33,A. Balaji,CUDDALORE,IND,0,Others,"Rs 43,79,622 ~ 43 Lacs+",Rs 0 ~
34,A. Devadas,BELLARY (ST),SUCI(C),0,8th Pass,"Rs 17,46,568 ~ 17 Lacs+",Rs 0 ~
35,A. G. Ramachandra Rao,MYSORE,Secular Democratic Congress,0,Graduate,,
36,A. Gopala Krishna,EAST DELHI,Navarang Congress Party,2,12th Pass,"Rs 3,93,000 ~ 3 Lacs+",Rs 0 ~
37,A. K. Singh (Ashok),MUNGER,IND,0,Graduate Professional,"Rs 2,20,62,267 ~ 2 Crore+",Rs 0 ~
38,A. Kadir Mastan Sayyed (Goregaonkar),HINGOLI,IND,0,8th Pass,"Rs 7,40,000 ~ 7 Lacs+",Rs 0 ~
39,A. Kranthi Kumar,MEDAK,IND,0,10th Pass,"Rs 4,70,560 ~ 4 Lacs+",Rs 0 ~
40,A. M Ariff,ALAPPUZHA,CPI(M),3,Graduate Professional,,
41,A. Madhu,THIRUPATHI (SC),Jai Hindustan Party,0,10th Pass,"Rs 54,300 ~ 54 Thou+",Rs 0 ~
42,A. Purna Chandra,CHITTOOR (SC),IND,0,10th Pass,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~
43,A. S. Sathish,MYSORE,IND,0,Graduate,"Rs 5,34,000 ~ 5 Lacs+",Rs 0 ~
44,A. Srinivasulu,MAHBUBNAGAR,IND,0,10th Pass,"Rs 20,000 ~ 20 Thou+",Rs 0 ~
45,A. Varaprasad,THIRUPATHI (SC),Jatiya Jana Sena Party,0,12th Pass,,
46,A.D. Shivappa,SHIMOGA,BSP,0,Graduate,"Rs 2,17,56,000 ~ 2 Crore+","Rs 12,74,783 ~ 12 Lacs+"
47,A.Durairaj,TIRUCHIRAPPALLI,IND,0,5th Pass,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~
48,A.H. Siddiqui,RAJNANDGAON,IND,0,Post Graduate,"Rs 12,30,891 ~ 12 Lacs+",Rs 0 ~
49,A.K. Ganesh,DAVANAGERE,IND,0,Literate,"Rs 19,15,000 ~ 19 Lacs+","Rs 17,50,000 ~ 17 Lacs+"
50,A.Kaliyaperumal,TIRUVANNAMALAI,IND,0,5th Pass,,
51,A.Selva Kumar,CHENNAI CENTRAL,Thakkam Katchi,0,10th Pass,"Rs 12,26,000 ~ 12 Lacs+",Rs 0 ~
52,A.T. Dadakhalandar,DAVANAGERE,Country Citizen Party,0,10th Pass,"Rs 50,500 ~ 50 Thou+","Rs 1,48,000 ~ 1 Lacs+"
53,Aabdusa Sattar Sekh,BAHARAMPUR,Indian National Socialistic Action Forces,0,10th Pass,"Rs 75,19,370 ~ 75 Lacs+","Rs 8,00,000 ~ 8 Lacs+"
54,Aacharyadip Subhashchandra Ganoje,AKOLA,IND,0,Graduate,"Rs 49,38,002 ~ 49 Lacs+","Rs 6,33,654 ~ 6 Lacs+"
55,Aakash Kumar Singh,MAHARAJGANJ,INC,0,12th Pass,,
56,Aanand Misra,BUXAR,IND,0,12th Pass,"Rs 56,66,811 ~ 56 Lacs+","Rs 1,70,000 ~ 1 Lacs+"
57,Aarab Hasam Sumra,JUNAGADH,IND,0,5th Pass,"Rs 2,49,591 ~ 2 Lacs+",Rs 0 ~
58,Aarif Usman Mansuri,NASHIK,IND,0,Graduate,"Rs 47,41,576 ~ 47 Lacs+",Rs 0 ~
59,Aarnakonda Raju,PEDDAPALLE (SC),IND,0,Post Graduate,"Rs 51,000 ~ 51 Thou+","Rs 2,50,000 ~ 2 Lacs+"
60,Aarti Kishorkumar Haldar,AHMEDNAGAR,Prabuddha Republican Party,0,5th Pass,,
61,Aashtikar Patil Nagesh Bapurao,HINGOLI,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate,"Rs 8,05,85,824 ~ 8 Crore+","Rs 88,67,236 ~ 88 Lacs+"
62,Aasiriyar Shanmuga Sundaram K,THOOTHUKKUDI,IND,0,Post Graduate,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~
63,Aathimuthukumar M,THENI,IND,2,5th Pass,"Rs 52,92,229 ~ 52 Lacs+",Rs 0 ~
64,Aatish Mohan Bansode,SOLAPUR (SC),IND,2,Post Graduate,"Rs 11,83,000 ~ 11 Lacs+","Rs 50,000 ~ 50 Thou+"
65,Aayare Rajendra Lahu,RATNAGIRI - SINDHUDURG,BSP,0,Post Graduate,,
66,Abbadi Buchi Reddy,KARIMNAGAR,IND,0,10th Pass,"Rs 93,94,000 ~ 93 Lacs+","Rs 3,00,000 ~ 3 Lacs+"
